ipeds_id,academic_year,data_source,tuition_in_state,tuition_out_state,required_fees,tuition_fees_in_state,tuition_fees_out_state,room_board_on_campus,room_board_off_campus,books_supplies,personal_expenses,transportation,has_tuition_data,has_fees_data,data_completeness_score,validation_issues,validation_status
225371,2023-24,IC2023_AY,2328.0,3328.0,1134.0,3462.0,4462.0,4200.0,7924.0,2000.0,3675.0,,True,True,90,,clean
225399,2023-24,IC2023_AY,35500.0,35500.0,2600.0,38100.0,38100.0,10816.0,10816.0,1000.0,5202.0,,True,True,90,,clean
225414,2023-24,IC2023_AY,6600.0,20784.0,1722.0,8322.0,22506.0,11014.0,13724.0,1026.0,4590.0,,True,True,90,,clean
225423,2023-24,IC2023_AY,2904.0,3624.0,1440.0,4344.0,5460.0,,9330.0,2250.0,,,True,True,70,,clean
225432,2023-24,IC2023_AY,6080.0,16016.0,1456.0,7536.0,17472.0,,9882.0,1296.0,,,True,True,70,,clean
225502,2023-24,IC2023_AY,5111.0,14903.0,2388.0,7499.0,17291.0,10494.0,10382.0,1158.0,3600.0,,True,True,90,,clean
225511,2023-24,IC2023_AY,8685.0,21165.0,1026.0,9711.0,22191.0,10830.0,11022.0,1556.0,4637.0,,True,True,90,,clean
225520,2023-24,IC2023_AY,4320.0,5770.0,306.0,4626.0,6076.0,5838.0,6858.0,1690.0,4627.0,,True,True,90,,clean
225548,2023-24,IC2023_AY,29522.0,29522.0,3880.0,33402.0,33402.0,10074.0,8544.0,1500.0,3082.0,,True,True,90,,clean
225575,2023-24,IC2023_AY,12569.0,12569.0,2134.0,14703.0,14703.0,8449.0,10710.0,1000.0,1500.0,,True,True,90,,clean
225627,2023-24,IC2023_AY,33700.0,33700.0,1960.0,35660.0,35660.0,13746.0,13636.0,250.0,4314.0,,True,True,90,,clean
225876,2023-24,IC2023_AY,5670.0,5670.0,2550.0,8220.0,8220.0,8600.0,7800.0,1250.0,2000.0,,True,True,90,,clean
225885,2023-24,IC2023_AY,10400.0,10400.0,1320.0,11720.0,11720.0,9880.0,8295.0,1000.0,2680.0,,True,True,90,,clean
225991,2023-24,IC2023_AY,17430.0,17430.0,617.0,18047.0,18047.0,,8148.0,0.0,,,True,True,70,,clean
226019,2023-24,IC2023_AY,3168.0,4368.0,888.0,4056.0,5256.0,7144.0,7494.0,2608.0,7112.0,,True,True,90,,clean
226091,2023-24,IC2023_AY,6228.0,16020.0,2676.0,8904.0,18696.0,10272.0,9266.0,1250.0,5090.0,,True,True,90,,clean
226107,2023-24,IC2023_AY,1920.0,12912.0,912.0,2832.0,13824.0,,3500.0,800.0,,,True,True,70,,clean
226116,2023-24,IC2023_AY,1200.0,7500.0,570.0,1770.0,8070.0,,10977.0,1500.0,,,True,True,70,,clean
226134,2023-24,IC2023_AY,2400.0,3648.0,2100.0,4500.0,5748.0,,6071.0,1800.0,,,True,True,70,,clean
226152,2023-24,IC2023_AY,3818.0,13634.0,4027.0,7845.0,19382.0,9650.0,9650.0,1270.0,3126.0,,True,True,90,,clean
226204,2023-24,IC2023_AY,3132.0,3552.0,750.0,3882.0,4302.0,,6018.0,1502.0,,,True,True,70,,clean
226231,2023-24,IC2023_AY,34680.0,34680.0,820.0,35500.0,35500.0,10570.0,13551.0,3060.0,3128.0,,True,True,90,,clean
226383,2023-24,IC2023_AY,26678.0,26678.0,620.0,27298.0,27298.0,8898.0,8898.0,1300.0,5488.0,,True,True,90,,clean
226408,2023-24,IC2023_AY,2550.0,3450.0,423.0,2973.0,3873.0,,6056.0,2000.0,,,True,True,70,,clean
226471,2023-24,IC2023_AY,30600.0,30600.0,2680.0,33280.0,33280.0,10720.0,10720.0,1300.0,3030.0,,True,True,90,,clean
226578,2023-24,IC2023_AY,3720.0,5430.0,480.0,4200.0,5910.0,,7767.0,1380.0,,,True,True,70,,clean
226587,2023-24,IC2023_AY,30922.0,30922.0,240.0,31162.0,31162.0,9788.0,8532.0,200.0,3350.0,,True,True,90,,clean
226806,2023-24,IC2023_AY,3870.0,5130.0,900.0,4770.0,6030.0,6000.0,15502.0,1925.0,2476.0,,True,True,90,,clean
226833,2023-24,IC2023_AY,5877.0,7827.0,4073.0,9950.0,11900.0,10240.0,10240.0,600.0,3976.0,,True,True,90,,clean
226879,2023-24,IC2023_AY,17680.0,17680.0,0.0,17692.0,17692.0,,9936.0,0.0,,,True,False,70,,clean
