ipeds_id,academic_year,data_source,tuition_in_state,tuition_out_state,required_fees,tuition_fees_in_state,tuition_fees_out_state,room_board_on_campus,room_board_off_campus,books_supplies,personal_expenses,transportation,has_tuition_data,has_fees_data,data_completeness_score,validation_issues,validation_status
214829,2023-24,IC2023_AY,15180,15180,1840,17020,17020,,,13448,4788,4104,TRUE,TRUE,80,,clean
214883,2023-24,IC2023_AY,15060,15060,1200,16260,16260,,,8000,2400,2400,TRUE,TRUE,80,,clean
214892,2023-24,IC2023_AY,13654,13654,2950,16604,16604,,,8100,3600,4500,TRUE,TRUE,80,,clean
214971,2023-24,IC2023_AY,44600,44600,1768,46368,46368,18662,6408,18662,6408,6408,TRUE,TRUE,100,,clean
215053,2023-24,IC2023_AY,31370,31370,1650,33020,33020,12535,1200,12535,1200,3500,TRUE,TRUE,100,,clean
215062,2023-24,IC2023_AY,66104,66104,1358,67462,67462,18496,3070,18360,3070,3714,TRUE,TRUE,100,,clean
215105,2023-24,IC2023_AY,54290,54290,1314,55604,55604,19028,2520,16974,2520,3663,TRUE,TRUE,100,,clean
215114,2023-24,IC2023_AY,32625,32625,1145,33770,33770,12234,2103,12102,2103,2103,TRUE,TRUE,100,,clean
215123,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
215239,2023-24,IC2023_AY,4632,8688,2400,7032,11088,,,10800,7546,7546,TRUE,TRUE,80,,clean
215266,2023-24,IC2023_AY,14620,14620,750,15370,15370,10848,4782,13338,4782,4782,TRUE,TRUE,100,,clean
215275,2023-24,IC2023_AY,14630,14630,750,15380,15380,12490,4782,13338,4782,4782,TRUE,TRUE,100,,clean
215284,2023-24,IC2023_AY,14646,14646,750,15396,15396,12290,4782,13338,4782,4782,TRUE,TRUE,100,,clean
215293,2023-24,IC2023_AY,21524,21524,584,22108,22108,13420,2918,13978,2918,2918,TRUE,TRUE,100,,clean
215309,2023-24,IC2023_AY,11918,11918,750,12668,12668,,,13338,4782,4782,TRUE,TRUE,80,,clean
215381,2023-24,IC2023_AY,17725,17725,1009,18734,18734,,,11992,10637,7914,TRUE,TRUE,80,,clean
215415,2023-24,IC2023_AY,18980,18980,2325,21305,21305,12395,7108,12395,7108,5700,TRUE,TRUE,100,,clean
215424,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
215442,2023-24,IC2023_AY,38160,38160,1200,39360,39360,12480,2340,3150,2140,2140,TRUE,TRUE,100,,clean
215479,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
215585,2023-24,IC2023_AY,6270,10890,1800,8070,12690,,,10800,5000,5000,TRUE,TRUE,80,,clean
215594,2023-24,IC2023_AY,11915,11915,1210,13125,13125,9937,10161,11458,10161,15543,TRUE,TRUE,100,,clean
215619,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
215637,2023-24,IC2023_AY,23550,23550,1650,25200,25200,12100,4075,12150,5000,5000,TRUE,TRUE,100,,clean
215655,2023-24,IC2023_AY,34940,34940,1000,35940,35940,12930,4404,8930,7910,7910,TRUE,TRUE,100,,clean
215682,2023-24,IC2023_AY,16700,16700,2500,19200,19200,,,11100,6500,4500,TRUE,TRUE,80,,clean
215691,2023-24,IC2023_AY,22171,22171,1400,23571,23571,13530,1821,13530,1821,5321,TRUE,TRUE,100,,clean
215743,2023-24,IC2023_AY,41720,41720,2000,43720,43720,13880,3000,13880,6000,7100,TRUE,TRUE,100,,clean
215770,2023-24,IC2023_AY,51340,51340,1050,52390,52390,15740,1470,15740,1470,4930,TRUE,TRUE,100,,clean
215798,2023-24,IC2023_AY,41100,41100,1500,42600,42600,13918,1800,13918,1800,5150,TRUE,TRUE,100,,clean
215813,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
215929,2023-24,IC2023_AY,52309,52309,1300,53609,53609,16918,1872,10200,1872,4572,TRUE,TRUE,100,,clean
215947,2023-24,IC2023_AY,41414,41414,1200,42614,42614,13778,2500,10658,3000,2300,TRUE,TRUE,100,,clean
215974,2023-24,IC2023_AY,16190,16190,2495,18685,18685,,,13768,7390,7390,TRUE,TRUE,80,,clean
215983,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
215992,2023-24,IC2023_AY,11470,11470,965,12435,12435,,,3240,1280,1280,TRUE,TRUE,80,,clean
216010,2023-24,IC2023_AY,13544,13544,1200,14744,14744,12952,3382,11404,3382,3382,TRUE,TRUE,100,,clean
216038,2023-24,IC2023_AY,10507,10507,1992,12499,12499,10584,2952,10496,4640,6194,TRUE,TRUE,100,,clean
216047,2023-24,IC2023_AY,25023,25023,1250,26273,26273,16113,4150,7000,1250,1250,TRUE,TRUE,100,,clean
216083,2023-24,IC2023_AY,19208,19208,1066,20274,20274,,,11700,4977,4977,TRUE,TRUE,80,,clean
216162,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
216278,2023-24,IC2023_AY,57400,57400,1200,58600,58600,15700,1700,15700,2700,6400,TRUE,TRUE,100,,clean
216287,2023-24,IC2023_AY,62412,62412,760,63172,63172,18964,1967,,,,TRUE,TRUE,80,,clean
216296,2023-24,IC2023_AY,9050,9050,2000,11050,11050,10670,1656,11670,2256,2256,TRUE,TRUE,100,,clean
216311,2023-24,IC2023_AY,10869,10869,900,11769,11769,8811,2100,,,,TRUE,TRUE,80,,clean
216339,2023-24,IC2023_AY,22082,22082,1240,23322,23322,16968,4466,16968,4466,4466,TRUE,TRUE,100,,clean
216348,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
216357,2023-24,IC2023_AY,36864,36864,1300,38164,38164,14850,3000,10600,4800,4800,TRUE,TRUE,100,,clean
216366,2023-24,IC2023_AY,45683,45683,1600,47283,47283,17246,4028,17246,8046,6140,TRUE,TRUE,100,,clean
216436,2023-24,IC2023_AY,18538,18538,1226,19764,19764,,,12680,7357,7357,TRUE,TRUE,80,,clean
216445,2023-24,IC2023_AY,18513,18513,1302,19815,19815,,,12680,7357,7357,TRUE,TRUE,80,,clean
216454,2023-24,IC2023_AY,18575,18575,1193,19768,19768,,,12680,7357,7357,TRUE,TRUE,80,,clean
216463,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
216524,2023-24,IC2023_AY,59196,59196,1000,60196,60196,15064,2322,15064,2322,7702,TRUE,TRUE,100,,clean
216542,2023-24,IC2023_AY,24510,24510,1500,26010,26010,11410,8270,9196,8270,8270,TRUE,TRUE,100,,clean
216551,2023-24,IC2023_AY,32176,32176,1303,33479,33479,17000,3032,,,,TRUE,TRUE,80,,clean
216597,2023-24,IC2023_AY,64701,64701,1100,65801,65801,16896,2300,16896,2300,3950,TRUE,TRUE,100,,clean
216630,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
216667,2023-24,IC2023_AY,28185,28185,1000,29185,29185,13910,1200,13910,1200,3200,TRUE,TRUE,100,,clean
216694,2023-24,IC2023_AY,29460,29460,1500,30960,30960,12300,1740,12670,1370,1370,TRUE,TRUE,100,,clean
216764,2023-24,IC2023_AY,10687,10687,1200,11887,11887,12474,4740,17124,4740,4740,TRUE,TRUE,100,,clean
216773,2023-24,IC2023_AY,12886,12886,1400,14286,14286,8750,6500,12900,9000,8125,TRUE,TRUE,100,,clean
216807,2023-24,IC2023_AY,39470,39470,1000,40470,40470,12380,1250,12380,1250,3250,TRUE,TRUE,100,,clean
216816,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
216825,2023-24,IC2023_AY,5880,10224,1600,7480,11824,,,7200,2080,2080,TRUE,TRUE,80,,clean
216852,2023-24,IC2023_AY,53638,53638,1408,55046,55046,15530,1890,8766,2574,2574,TRUE,TRUE,100,,clean
216931,2023-24,IC2023_AY,42286,42286,400,42686,42686,16006,3193,9607,4193,5843,TRUE,TRUE,100,,clean
216940,2023-24,IC2023_AY,30858,30858,1405,32263,32263,5000,,,,,TRUE,TRUE,80,,clean
217013,2023-24,IC2023_AY,27000,27000,1104,28104,28104,12162,1701,7100,2569,2569,TRUE,TRUE,100,,clean
217040,2023-24,IC2023_AY,10400,10400,300,10700,10700,3700,6000,,,,TRUE,TRUE,80,,clean
217059,2023-24,IC2023_AY,24606,24606,1200,25806,25806,12780,2100,12780,2600,2900,TRUE,TRUE,100,,clean
217156,2023-24,IC2023_AY,68230,68230,0,68230,68230,16598,2820,,,,TRUE,TRUE,80,,clean
217165,2023-24,IC2023_AY,51169,51169,1400,52569,52569,16938,1550,10000,3500,3500,TRUE,TRUE,100,,clean
217235,2023-24,IC2023_AY,40408,40408,1200,41608,41608,18776,1758,11200,1758,1758,TRUE,TRUE,100,,clean
